Gene1        Gene2        Direction    Correlation  Distant?     Distance     
EGR2         MYF5         0            -0.75457     1            -1           
EGR2         MYF6         0            -0.75505     1            -1           
EGR2         PDX1         0            -0.85334     1            -1           
EGR2         USF1         -1           -0.82893     1            -1           
EGR2         ZEB1         -1           0.86947      1            32968026     
EGR2         ZFX          -1           -0.76753     1            -1           
EGR2         NR1I3        -1           -0.9338      1            -1           
EGR2         NR5A2        0            -0.9308      1            -1           
EGR2         PITX2        0            -0.77121     1            -1           
EGR2         YY1          -1           -0.84634     1            -1           
EGR2         ARNT2        -1           0.92798      1            -1           
EGR2         ARNTL        -1           0.76581      1            -1           
EGR2         ATF5         -1           -0.84295     1            -1           
EGR2         MEIS2        0            -0.87738     1            -1           
EGR2         PKNOX2       -1           0.78367      1            -1           
EGR2         TGIF1        -1           -0.86253     1            -1           
EGR2         TGIF2        -1           -0.84167     1            -1           
EGR2         MYB          0            -0.9248      1            -1           
EGR2         OTX2         0            -0.88356     1            -1           
EGR2         PAX4         -1           -0.77698     1            -1           
EGR2         RARB         0            0.75474      1            -1           
EGR2         THRA         -1           -0.87213     1            -1           
EGR2         ATF2         -1           -0.7622      1            -1           
EGR2         NFATC1       -1           0.97995      1            -1           
EGR2         NFATC4       -1           -0.79405     1            -1           
EGR2         FOSL2        -1           0.8859       1            -1           
EGR2         E2F2         -1           -0.79707     1            -1           
EGR2         E2F7         0            -0.89024     1            -1           
EGR2         E2F8         0            0.79332      1            -1           
EGR2         SMAD1        0            -0.89692     1            -1           
EGR2         TBP          -1           0.76879      1            -1           
EGR2         FOXD1        -1           -0.901       1            -1           
EGR2         HSF1         -1           -0.81454     1            -1           
EGR2         NRF1         -1           -0.77393     1            -1           
EGR2         ZNF350       0            -0.93098     1            -1           
EGR2         ATF7         -1           -0.93789     1            -1           
EGR2         ZNF143       -1           -0.81733     1            -1           
EGR2         LTF          -1           -0.8841      1            -1           
EGR2         NKX2-2       0            -0.79438     1            -1           
EGR2         NR0B1        0            0.79875      1            -1           
EGR2         NR4A1        -1           -0.84121     1            -1           
EGR2         BARHL2       0            -0.84056     1            -1           
EGR2         CDX2         0            -0.89693     1            -1           
EGR2         HMGA1        -1           -0.80178     1            -1           
EGR2         TEF          -1           -0.79259     1            -1           
EGR2         ELK4         -1           -0.82188     1            -1           
EGR2         NANOG        -1           -0.87072     1            -1           
EGR2         POU4F1       0            -0.77712     1            -1           
EGR2         DMBX1        -1           -0.92807     1            -1           
EGR2         IRF9         -1           -0.78788     1            -1           
EGR2         BRCA1        -1           -0.77235     1            -1           
EGR2         RFX2         -1           0.79756      1            -1           
EGR2         RFXANK       -1           -0.83381     1            -1           
EGR2         CBFB         -1           -0.88115     1            -1           
EGR2         CDC5L        -1           -0.85101     1            -1           
EGR2         GCM2         -1           -0.95254     1            -1           
EGR2         SOX5         -1           0.78174      1            -1           
EGR2         SRY          -1           -0.78584     1            -1           
EGR2         XBP1         -1           -0.79393     1            -1           
EGR2         EOMES        0            -0.7587      1            -1           
EGR2         TBX5         0            -0.7873      1            -1           
EGR2         PAX8         -1           0.958        1            -1           
EGR2         ZNF589       -1           -0.83049     1            -1           
EGR2         CIZ1         -1           -0.78364     1            -1           
EGR2         REL          -1           -0.80787     1            -1           
EGR2         DLX5         0            -0.90394     1            -1           
