Gene1        Gene2        Direction    Correlation  Distant?     Distance     
CREB1        TRIM28       -1           0.85976      1            -1           
CREB1        CNOT3        0            0.81232      1            -1           
CREB1        CTF1         -1           0.86994      1            -1           
CREB1        NFIX         -1           0.84838      1            -1           
CREB1        FOXG1        1            0.78944      1            -1           
CREB1        CTCF         -1           0.85813      1            -1           
CREB1        MAD1L1       0            -0.96024     1            -1           
CREB1        MXD3         -1           0.95701      1            -1           
CREB1        MYC          0            0.83724      1            -1           
CREB1        NHLH1        -1           0.76554      1            -1           
CREB1        SREBF2       -1           0.87379      1            -1           
CREB1        TFE3         0            0.79378      1            -1           
CREB1        USF1         -1           0.83443      1            -1           
CREB1        ZFX          -1           0.82853      1            -1           
CREB1        MZF1         0            0.76923      1            -1           
CREB1        NR1I3        -1           0.79196      1            -1           
CREB1        YY1          -1           0.78246      1            -1           
CREB1        RORA         0            0.88499      1            -1           
CREB1        CEBPD        1            0.89607      1            -1           
CREB1        RARA         -1           0.83338      1            -1           
CREB1        RARG         -1           0.80319      1            -1           
CREB1        RXRG         1            -0.75633     1            -1           
CREB1        THRA         -1           0.78189      1            -1           
CREB1        NFATC4       -1           0.85983      1            -1           
CREB1        EBF1         1            -0.76403     1            -1           
CREB1        SMAD4        1            0.87572      1            -1           
CREB1        SMAD5        1            -0.76216     1            -1           
CREB1        TFDP1        -1           0.9158       1            -1           
CREB1        TFDP2        0            0.78582      1            -1           
CREB1        FOXA1        1            0.75936      1            -1           
CREB1        ZNF350       1            0.85137      1            -1           
CREB1        ATF7         -1           0.93401      1            -1           
CREB1        ZNF143       -1           0.85713      1            -1           
CREB1        POU3F2       1            0.75688      1            -1           
CREB1        NFE2         -1           0.86047      1            -1           
CREB1        FOXL1        1            -0.80429     1            -1           
CREB1        ERF          -1           0.94127      1            -1           
CREB1        ETV7         -1           -0.77111     1            -1           
CREB1        GCM2         1            0.92566      1            -1           
CREB1        SOX10        -1           0.79027      1            -1           
CREB1        SOX3         1            0.75249      1            -1           
CREB1        SOX8         0            -0.89289     1            -1           
CREB1        DLX2         -1           0.86645      1            35427137     
CREB1        TBX22        1            0.75311      1            -1           
CREB1        TFCP2L1      1            -0.79654     1            86351837     
CREB1        ZNF589       -1           0.88913      1            -1           
CREB1        STAT2        -1           0.79832      1            -1           
CREB1        ZBTB33       1            0.76722      1            -1           
CREB1        MECP2        1            0.81788      1            -1           
CREB1        EP300        -1           0.88706      1            -1           
CREB1        FOXP3        1            0.77814      1            -1           
CREB1        GLI1         -1           0.75276      1            -1           
CREB1        OTX1         1            0.77587      1            145117424    
CREB1        DLX1         -1           0.86784      1            35444408     
CREB1        HOMEZ        -1           0.76497      1            -1           
CREB1        ELF4         0            0.8145       1            -1           
CREB1        GATA6        1            -0.94464     1            -1           
CREB1        ONECUT1      1            0.82832      1            -1           
CREB1        ONECUT2      1            0.78977      1            -1           
CREB1        ZIC3         1            0.75278      1            -1           
CREB1        FOXF1        1            -0.80188     1            -1           
CREB1        FOXJ1        -1           0.80249      1            -1           
CREB1        FOXJ2        -1           0.87386      1            -1           
CREB1        SIX4         1            0.83412      1            -1           
CREB1        NKX6-2       1            -0.8618      1            -1           
CREB1        LMX1A        1            -0.75653     1            -1           
CREB1        ISX          1            -0.76366     1            -1           
CREB1        FOXJ3        1            -0.90436     1            -1           
CREB1        MECOM        1            -0.7661      1            -1           
CREB1        MEF2C        1            0.7533       1            -1           
CREB1        FOXO4        0            0.87047      1            -1           
CREB1        GZF1         1            0.83883      1            -1           
CREB1        HOXB13       -1           0.88309      1            -1           
CREB1        ING4         -1           0.89183      1            -1           
CREB1        ZNF384       -1           0.89872      1            -1           
CREB1        POU3F4       1            0.929        1            -1           
CREB1        NR4A2        1            0.89581      1            51205328     
CREB1        OVOL2        0            0.89032      1            -1           
CREB1        SIX1         1            0.82066      1            -1           
CREB1        ZIC1         1            0.78123      1            -1           
CREB1        ZNF354C      1            -0.81027     1            -1           
CREB1        TFEC         1            -0.78233     1            -1           
CREB5        KLF4         1            -0.87426     1            -1           
CREB5        IRF1         0            -0.86209     1            -1           
CREB5        IRF7         -1           -0.90769     1            -1           
CREB5        PURA         -1           0.81987      1            -1           
CREB5        ALX3         0            -0.76846     1            -1           
CREB5        HAND2        1            0.86002      1            -1           
CREB5        TFEB         -1           -0.75595     1            -1           
CREB5        TGIF1        -1           0.7799       1            -1           
CREB5        E2F7         1            0.89829      1            -1           
CREB5        FLI1         0            0.78663      1            -1           
CREB5        TBP          1            -0.77713     1            -1           
CREB5        FOXD1        0            0.8511       1            -1           
CREB5        IKZF2        1            -0.86577     1            -1           
CREB5        ETS1         0            0.76179      1            -1           
CREB5        NR0B1        1            -0.89639     1            -1           
