Gene1        Gene2        Direction    Correlation  Distant?     Distance     
ZNF219       NFATC4       1            0.83183      1            3270417      
ZNF219       JUNB         1            0.76059      1            -1           
ZNF219       ATF4         0            0.76889      1            -1           
ZNF219       SMAD7        0            0.80205      1            -1           
ZNF219       POU3F1       1            0.76283      1            -1           
ZNF219       DMBX1        0            0.77514      1            -1           
ZNF219       SOX12        1            0.79705      1            -1           
ZNF219       XBP1         0            0.87338      1            -1           
ZNF219       CHURC1       0            0.78173      1            43814270     
ZNF219       DDIT3        -1           0.83067      1            -1           
ZNF219       GLI1         0            0.78659      1            -1           
ZNF219       TCF7         0            0.75096      1            -1           
AIRE         IRF1         0            0.78803      1            -1           
AIRE         ALX3         -1           0.78678      1            -1           
AIRE         MAX          0            0.75603      1            -1           
AIRE         JUN          0            0.79413      1            -1           
AIRE         POU3F2       1            -0.83311     1            -1           
AIRE         RUNX3        -1           0.77114      1            -1           
AIRE         DLX3         -1           0.75082      1            -1           
AIRE         DLX4         -1           0.76321      1            -1           
CRX          ASCL1        1            -0.81867     1            -1           
CRX          MYOG         -1           0.86504      1            -1           
CRX          ESRRA        0            0.75145      1            -1           
CRX          HIF1A        0            0.83244      1            -1           
CRX          FOS          0            0.82511      1            -1           
CRX          HMGA1        -1           0.764        1            -1           
CRX          NANOG        1            0.7506       1            -1           
CRX          POU2F3       0            0.75834      1            -1           
CRX          DLX3         0            0.89194      1            -1           
CRX          DLX4         0            0.87301      1            -1           
CRX          TCF7         -1           0.75347      1            -1           
CRX          LHX2         0            0.90954      1            -1           
CRX          VSX2         -1           0.84421      1            -1           
CRX          ITGB2        0            0.84542      1            -1           
PITX1        SRF          -1           0.75801      1            -1           
PITX1        MYOG         -1           0.77418      1            -1           
PITX1        FOS          0            0.7798       1            -1           
PITX1        NR6A1        -1           0.80728      1            -1           
PITX1        CDX1         0            0.8124       1            15176379     
PITX1        DLX4         -1           0.78841      1            -1           
PITX1        ITGB2        0            0.76431      1            -1           
RAX          NKX3-1       0            0.76171      1            -1           
ALX1         HOXD13       -1           0.75262      1            -1           
ALX1         HOXD1        -1           0.78405      1            -1           
ALX1         HOXD3        -1           0.77315      1            -1           
ALX1         HOXD9        -1           0.75432      1            -1           
ALX1         OVOL2        -1           -0.77821     1            -1           
GATA1        TFE3         0            0.92096      0            256062       
GATA1        SMAD4        1            0.81886      1            -1           
GATA1        ELK1         0            0.88863      1            1134978      
GATA1        MECP2        0            0.8778       1            104718207    
GATA1        FOXP3        1            0.93743      0            476307       
GATA1        TBX18        1            -0.78456     1            -1           
GATA1        ELF4         0            0.94294      1            80599494     
GATA1        FOXO4        0            0.89735      1            21671017     
IRF1         ALX3         0            0.89493      1            -1           
IRF1         RXRA         0            0.77139      1            -1           
IRF1         JUN          1            0.78482      1            -1           
IRF1         NKX2-5       1            0.8292       1            40835850     
IRF1         DLX4         -1           0.75695      1            -1           
IRF2         TAL2         0            -0.79961     1            -1           
IRF2         SOX17        0            -0.83786     1            -1           
IRF3         IRF5         -1           0.75583      1            -1           
IRF3         CTF1         0            0.84528      1            -1           
IRF3         MAZ          -1           0.76168      1            -1           
IRF3         NF1          0            0.78032      1            -1           
IRF3         NFIX         -1           0.79786      1            37062549     
IRF3         SRF          -1           0.85132      1            -1           
IRF3         CTCF         -1           0.77294      1            -1           
IRF3         ARID3A       0            0.79578      1            49243096     
IRF3         TCF3         0            0.79373      1            48516804     
IRF3         ZFX          0            0.79162      1            -1           
IRF3         ZBTB7A       0            0.83282      1            46102316     
IRF3         TGIF2        -1           0.81417      1            -1           
IRF3         CEBPB        -1           0.77367      1            -1           
IRF3         THRA         -1           0.82898      1            -1           
IRF3         FOSB         0            0.84402      1            4197880      
IRF3         FOSL1        0            0.84446      1            -1           
IRF3         JUNB         1            0.87153      1            37266823     
IRF3         FOXA3        0            0.9279       1            3801615      
IRF3         HSF1         0            0.82156      1            -1           
IRF3         RFX1         0            0.80161      1            36051998     
IRF3         MAFF         -1           0.88687      1            -1           
IRF3         MAFG         0            0.76717      1            -1           
IRF3         NFE2         0            0.75019      1            -1           
IRF3         NR2F6        0            0.85945      1            32812981     
IRF3         NR4A1        -1           0.79065      1            -1           
IRF3         NR6A1        -1           0.76502      1            -1           
IRF3         SOX10        -1           0.81656      1            -1           
IRF3         SOX12        1            0.75169      1            -1           
IRF3         TP53         -1           0.76145      1            -1           
IRF3         RELA         -1           0.76623      1            -1           
IRF3         STAT2        -1           0.76804      1            -1           
IRF3         CIZ1         0            0.75954      1            -1           
IRF3         RELB         0            0.83084      1            4664426      
IRF3         MAFA         0            0.76233      1            -1           
IRF3         DBP          0            0.82635      1            1028493      
IRF3         FOXJ2        0            0.75256      1            -1           
IRF3         OAZ1         0            0.90637      1            47899613     
