Gene1        Gene2        Direction    Correlation  Distant?     Distance     
EGR1         DMRT2        1            -0.81713     1            -1           
EGR1         HNF1B        1            0.77651      1            -1           
EGR1         HOMEZ        -1           0.98188      1            -1           
EGR1         ELF3         0            0.95563      1            -1           
EGR1         ELF4         0            0.77587      1            -1           
EGR1         ETV4         -1           0.82321      1            -1           
EGR1         FOXJ1        1            0.97485      1            -1           
EGR1         LMX1B        0            0.82613      1            -1           
EGR1         MECOM        0            -0.80585     1            -1           
EGR1         MEF2D        0            0.8997       1            -1           
EGR1         FOXO4        1            0.93816      1            -1           
EGR1         IRX5         1            -0.81694     1            -1           
EGR1         MEOX1        -1           0.88371      1            -1           
EGR1         TFEC         1            -0.83457     1            -1           
EGR2         EGR4         -1           0.87323      1            -1           
EGR2         MITF         -1           0.76161      1            -1           
EGR2         PPARG        -1           0.78686      1            -1           
EGR2         IKZF1        -1           0.89452      1            -1           
EGR2         PITX2        0            -0.75273     1            -1           
EGR2         MEIS2        -1           -0.75541     1            -1           
EGR2         GFI1         -1           -0.75874     1            -1           
EGR2         T            -1           -0.78259     1            -1           
EGR2         NFE2L2       -1           -0.90438     1            -1           
EGR2         RFX2         -1           0.78608      1            -1           
EGR2         TFCP2L1      -1           0.75954      1            -1           
EGR2         NR2C2        -1           0.76795      1            -1           
EGR2         OTP          -1           -0.87929     1            -1           
EGR2         SIX3         -1           -0.79975     1            -1           
EGR3         ZNF148       0            0.87306      1            -1           
EGR3         ALX1         1            -0.85914     1            -1           
EGR3         PURA         0            0.86302      1            -1           
EGR3         HNF4A        0            0.76759      1            -1           
EGR3         TCF12        1            0.87623      1            -1           
EGR3         NR1I2        1            0.77478      1            -1           
EGR3         PKNOX2       1            -0.80281     1            -1           
EGR3         SMAD3        0            0.93702      1            -1           
EGR3         HOXC6        1            0.76539      1            -1           
EGR3         ETV7         -1           0.77171      1            -1           
EGR3         CHURC1       -1           0.79442      1            -1           
EGR3         NR2C2        1            0.75227      1            -1           
EGR3         GATA2        -1           0.75285      1            -1           
EGR3         DLX3         0            0.81781      1            -1           
EGR3         HOXC8        0            0.75114      1            -1           
EGR3         IRX2         1            -0.93066     1            -1           
EGR3         FOXN1        0            0.85146      1            -1           
EGR4         RAX          1            -0.81712     1            -1           
EGR4         ALX3         0            0.78553      1            -1           
EGR4         MAD1L1       0            0.80336      1            -1           
